feature,phase7_mixer_mean_z,phase7_clean_mean_z,phase7_replay_mean_z,testing_mixer_mean_z,gap_testing_vs_phase7_mixer_abs,closer_to_clean_than_mixer,closer_to_replay_than_mixer
spectral_contrast_mean,0.8622000547832497,0.19492364332776407,-0.9019290345479346,0.24809816520622632,0.6141018895770234,True,False
spectral_bandwidth_mean,-0.35015435375438,-0.06357571475854598,1.1558375631272502,-0.9039919543367648,0.5538376005823848,False,False
spectral_flatness_std,-0.7758640159969643,0.4422232629611595,0.2896602176244341,-1.3095679534353075,0.5337039374383432,False,False
dc_offset,0.023031716374243345,0.5661035693762714,-0.15424381004836543,-0.5047337583114779,0.5277654746857213,False,True
spectral_entropy_mean,-0.27185344055288957,-0.36027085034047046,1.2806345088609092,0.25313255824295344,0.524985998795843,False,False
mfcc_12_std,-0.08343711583200959,0.7777337302132296,-0.9504230419356017,0.4017232146906851,0.4851603305226947,True,False
mfcc_1_std,0.05022162212467185,1.3575738039147551,-0.4981311248577512,0.5123192811929645,0.4620976590682927,False,False
mfcc_12_mean,-0.7860784356652829,0.06930271985160577,0.26450091097414213,-0.35721475956917254,0.42886367609611037,True,False
mfcc_6_std,0.36428410107648096,0.6753403212248275,-0.8268661682258802,-0.010021120643066705,0.37430522171954766,False,False
rms_mean,0.7508469961255149,-0.22684743330755147,-0.37320730369551625,0.38478906157030074,0.3660579345552141,False,False
mean_amplitude,0.8147709528820093,-0.2641637054896345,-0.23512598534619358,0.48955502238217435,0.32521593049983494,False,False
spectral_rolloff_std,-0.45168472007198845,1.282189412950136,-0.24338090207546828,-0.19312319193784444,0.258561528134144,False,True
mfcc_4_std,-0.04256689220935432,0.5866456601782937,-1.2486036125053452,-0.2651959852001498,0.22262909299079547,False,False
mfcc_1_mean,0.021008505767668256,-1.1760258606499172,1.0998431993722217,0.2231126798069257,0.20210417403925746,False,False
bandwidth_occupied_95,-0.19145444816746676,-0.04429329139300779,1.306033951026166,-0.005229365169273951,0.18622508299819282,True,False
zero_crossing_rate_mean,-0.31592687528044816,-0.12912342771149773,1.2781386877603926,-0.13252760773194902,0.18339926754849914,True,False
spectral_rolloff_mean,-0.3287603162411359,0.04407660928716308,1.4154525757222975,-0.4767484262126945,0.1479881099715586,False,False
high_freq_rolloff_ratio,-0.32876031624113594,0.04407660928716297,1.415452575722297,-0.47674842621269414,0.1479881099715582,False,False
spectral_flatness_mean,-0.41866952912222205,-0.011580560068998182,1.3334158831681986,-0.5598877565326008,0.14121822741037876,False,False
mfcc_8_std,-0.18546974225506566,0.8570187428808,-0.7461938117204404,-0.04925046107667774,0.1362192811783879,False,False
spectral_bandwidth_std,-0.005979349018647616,1.4051997029945449,-0.5868457885741099,-0.11209479939686322,0.1061154503782156,False,False
high_band_energy_ratio,-0.07994985815474971,0.012702243578313965,1.4104480573086782,-0.030908802520794854,0.04904105563395486,True,False
mfcc_10_std,0.16575462415284975,1.0491793092031592,-0.6868933404665967,0.12392430242148267,0.04183032173136708,False,False
mfcc_2_std,-0.18886061845170057,1.120203870229073,-0.4189895671302205,-0.23020829815871977,0.04134767970701919,False,False
mfcc_2_mean,0.5299540257141417,-0.07229866359290858,-0.9907356337060663,0.49038456153396154,0.0395694641801802,False,False
mfcc_7_std,-0.044958740697726866,0.9601809863581185,-0.8310983379622463,-0.01666357168073847,0.028295169016988395,False,False
rms_min,0.00029384188559479014,0.013098165050070722,2.0277989908117666,0.027254144100603433,0.02696030221500864,True,False
mfcc_13_std,0.09566294887320867,0.7804058117107846,-0.9429595170862085,0.06896009574490858,0.02670285312830009,False,False
active_audio_ratio,-0.0042189030703530086,-0.725160335242806,0.020218163065635147,0.021208836923036888,0.025427739993389896,False,True
silence_ratio,0.0042189030703536695,0.7251603352428077,-0.020218163065632504,-0.02120883692303412,0.02542773999338779,False,True
snr_proxy,0.0066264167034063605,0.6924564167721455,-0.01754311853759891,0.03132422995733756,0.024697813253931198,False,False
spectral_centroid_std,-0.7257188115566234,0.8460613658457127,-0.04095271258806506,-0.7025834546843651,0.023135356872258317,False,False
zero_crossing_rate_std,-0.7503431600485556,0.5960538726150559,0.1966500397769231,-0.7607161909088366,0.010373030860280963,False,False
mfcc_11_std,0.29799059791748217,0.8466050719494483,-0.7241264366121859,0.28857419150979674,0.00941640640768543,False,False
mfcc_5_std,-0.06808000443591115,0.9213812360778262,-0.7351211586419933,-0.07528433174109006,0.007204327305178906,False,False
spectral_centroid_mean,-0.3878759178319752,-0.00306946867532589,1.3165253098871506,-0.38653429961888053,0.0013416182130946974,False,False
clipping_ratio,0.0,0.38018720096287373,0.0,0.0,0.0,False,False
