level,embedding_dim_name,missing_percent,non_null_count,row_count,variance,usability,note
file,ssl_emb_158,0.0,184,184,0.0004601746120050835,usable,
file,ssl_emb_159,0.0,184,184,0.0019779756315898185,usable,
file,ssl_emb_160,0.0,184,184,0.0004925454426121731,usable,
file,ssl_emb_161,0.0,184,184,0.0012619132889981769,usable,
file,ssl_emb_162,0.0,184,184,0.0005938042561474817,usable,
file,ssl_emb_163,0.0,184,184,0.0008629429895960065,usable,
file,ssl_emb_164,0.0,184,184,0.0003674722002466161,usable,
file,ssl_emb_165,0.0,184,184,0.0004919775125982744,usable,
file,ssl_emb_166,0.0,184,184,0.0013947626385661864,usable,
file,ssl_emb_167,0.0,184,184,0.00042842615368635214,usable,
file,ssl_emb_168,0.0,184,184,0.0004230186689408432,usable,
file,ssl_emb_169,0.0,184,184,0.002118968953680293,usable,
file,ssl_emb_170,0.0,184,184,0.0008983887589980473,usable,
file,ssl_emb_171,0.0,184,184,0.00024128373959825106,usable,
file,ssl_emb_172,0.0,184,184,0.004441778830451726,usable,
file,ssl_emb_173,0.0,184,184,0.000389807655759192,usable,
file,ssl_emb_174,0.0,184,184,0.00030202358254510694,usable,
file,ssl_emb_175,0.0,184,184,0.0006926504574379669,usable,
file,ssl_emb_176,0.0,184,184,0.00022145200528059057,usable,
file,ssl_emb_177,0.0,184,184,0.0003204777344464008,usable,
file,ssl_emb_178,0.0,184,184,0.0006992420914721779,usable,
file,ssl_emb_179,0.0,184,184,0.0003860355909081857,usable,
file,ssl_emb_180,0.0,184,184,0.00046415922164941417,usable,
file,ssl_emb_181,0.0,184,184,0.0003100455794016069,usable,
file,ssl_emb_182,0.0,184,184,0.0003663636113001552,usable,
file,ssl_emb_183,0.0,184,184,0.0002847342584252156,usable,
file,ssl_emb_184,0.0,184,184,7.582385365799496e-05,usable,
file,ssl_emb_185,0.0,184,184,8.807966355244932e-05,usable,
file,ssl_emb_186,0.0,184,184,0.0014467482869649861,usable,
file,ssl_emb_187,0.0,184,184,0.0018201665738964844,usable,
file,ssl_emb_188,0.0,184,184,0.00022328740413484765,usable,
file,ssl_emb_189,0.0,184,184,0.00029558173114987247,usable,
file,ssl_emb_190,0.0,184,184,0.0002953165103396743,usable,
file,ssl_emb_191,0.0,184,184,0.0004044937554871307,usable,
file,ssl_emb_192,0.0,184,184,0.00030144618663687753,usable,
file,ssl_emb_193,0.0,184,184,0.0009149982978895073,usable,
file,ssl_emb_194,0.0,184,184,0.00024866466816920855,usable,
file,ssl_emb_195,0.0,184,184,0.0005447830354154572,usable,
file,ssl_emb_196,0.0,184,184,0.00013676194453385635,usable,
file,ssl_emb_197,0.0,184,184,0.00040792497006799007,usable,
file,ssl_emb_198,0.0,184,184,0.0005228980669093765,usable,
file,ssl_emb_199,0.0,184,184,0.011491214530232092,usable,
file,ssl_emb_200,0.0,184,184,0.00021861157112153175,usable,
file,ssl_emb_201,0.0,184,184,0.0014032301892626235,usable,
file,ssl_emb_202,0.0,184,184,0.0007521747965080689,usable,
file,ssl_emb_203,0.0,184,184,0.0003359789914969748,usable,
file,ssl_emb_204,0.0,184,184,0.0011375826771640157,usable,
