level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
file,known_origin_label,ai_synthetic,ssl_emb_227,69,69,0.0,-0.062070866466324356,0.041097514706988435,-0.1380242705345153,-0.0589066892862319,0.0249221753329038
file,known_origin_label,ai_synthetic,ssl_emb_228,69,69,0.0,-0.09664892618530899,0.039105036134708115,-0.1787724047899246,-0.0870431959629058,-0.0294192153960466
file,known_origin_label,ai_synthetic,ssl_emb_229,69,69,0.0,0.031232322333380556,0.024668615032937272,-0.0229001212865114,0.0354330353438854,0.0747752338647842
file,known_origin_label,ai_synthetic,ssl_emb_230,69,69,0.0,0.002024072808706181,0.01478886996698537,-0.0290669687092304,0.0036744442768394,0.0327963680028915
file,known_origin_label,ai_synthetic,ssl_emb_231,69,69,0.0,-0.02445312378847076,0.013116551617937192,-0.0597370974719524,-0.022906033322215,0.00311094452627
file,known_origin_label,ai_synthetic,ssl_emb_232,69,69,0.0,-0.0058973041898528695,0.01616888994323446,-0.0417108945548534,-0.0033563268370926,0.0277327727526426
file,known_origin_label,ai_synthetic,ssl_emb_233,69,69,0.0,0.0239314478130309,0.017894851642689606,-0.0195298846811056,0.0256766267120838,0.0505014806985855
file,known_origin_label,ai_synthetic,ssl_emb_234,69,69,0.0,0.03185635376417925,0.02902966369293474,-0.0459848083555698,0.0335137099027633,0.0907334983348846
file,known_origin_label,ai_synthetic,ssl_emb_235,69,69,0.0,0.09422107864225254,0.10563075214596977,-0.1659475564956665,0.0934875831007957,0.3345689177513122
file,known_origin_label,ai_synthetic,ssl_emb_236,69,69,0.0,0.008313060661379656,0.01395948830933029,-0.0241339188069105,0.009771061129868,0.0331610329449176
file,known_origin_label,ai_synthetic,ssl_emb_237,69,69,0.0,-0.020318440056196718,0.022906161265424427,-0.06585543602705,-0.0201112311333417,0.0361880138516426
file,known_origin_label,ai_synthetic,ssl_emb_238,69,69,0.0,0.002650680160909158,0.019410886265171557,-0.0558815598487854,0.0050439699552953,0.0329650416970253
file,known_origin_label,ai_synthetic,ssl_emb_239,69,69,0.0,0.012739078303718027,0.023336206579620773,-0.0481021665036678,0.0223332792520523,0.0475750304758548
file,known_origin_label,ai_synthetic,ssl_emb_240,69,69,0.0,0.03450618281731027,0.022296597989790716,-0.0027275581378489,0.0294890571385622,0.0907500088214874
file,known_origin_label,ai_synthetic,ssl_emb_241,69,69,0.0,-0.02251445374913861,0.020477628959733065,-0.0789643377065658,-0.0178397968411445,0.0099168373271822
file,known_origin_label,ai_synthetic,ssl_emb_242,69,69,0.0,-0.023098688514226598,0.028473242927214374,-0.0970251709222793,-0.0120747657492756,0.0164976567029953
file,known_origin_label,ai_synthetic,ssl_emb_243,69,69,0.0,-0.009823077911067315,0.020400503127864074,-0.0635373666882515,-0.0034267073497176,0.0252674352377653
file,known_origin_label,ai_synthetic,ssl_emb_244,69,69,0.0,0.011949178989026749,0.027011172643058096,-0.0335102900862693,0.0059948130510747,0.0641096383333206
file,known_origin_label,ai_synthetic,ssl_emb_245,69,69,0.0,-0.029454537144308682,0.014114350098212738,-0.0543584488332271,-0.0319013968110084,0.0052683264948427
file,known_origin_label,ai_synthetic,ssl_emb_246,69,69,0.0,0.043961251593208364,0.021449550577530084,-0.0064333342015743,0.0449186898767948,0.0908792614936828
file,known_origin_label,ai_synthetic,ssl_emb_247,69,69,0.0,0.019881629266107984,0.012806410541510696,-0.0155170354992151,0.020008236169815,0.0489300042390823
file,known_origin_label,ai_synthetic,ssl_emb_248,69,69,0.0,-0.0019276507213151538,0.016628865425376452,-0.0345980711281299,-0.0031964792869985,0.035462025552988
file,known_origin_label,ai_synthetic,ssl_emb_249,69,69,0.0,-0.02329857893915764,0.027241573954598468,-0.0652151182293891,-0.0310666114091873,0.0433557480573654
file,known_origin_label,ai_synthetic,ssl_emb_250,69,69,0.0,-0.0017250345216767086,0.011379959886815639,-0.0207597054541111,-0.0011127808829769,0.0250689275562763
file,known_origin_label,ai_synthetic,ssl_emb_251,69,69,0.0,-0.039831091104028035,0.023763550064322257,-0.0884281918406486,-0.0416108854115009,0.0134470118209719
file,known_origin_label,ai_synthetic,ssl_emb_252,69,69,0.0,-0.025363224855475635,0.020604827678769307,-0.0640096142888069,-0.0253548324108123,0.0098151238635182
file,known_origin_label,ai_synthetic,ssl_emb_253,69,69,0.0,0.04971673440161171,0.02167039832715532,-0.0045160581357777,0.0480213798582553,0.0907060205936431
file,known_origin_label,ai_synthetic,ssl_emb_254,69,69,0.0,0.0034213253884049703,0.024691488047001876,-0.0466796159744262,0.0139229325577616,0.0402207560837268
file,known_origin_label,ai_synthetic,ssl_emb_255,69,69,0.0,0.004874841688011852,0.05339553703634685,-0.104789100587368,0.0284279938787221,0.0708197951316833
