level,comparison_name,level_a,level_b,embedding_dim_name,group_a_count,group_b_count,group_a_mean,group_b_mean,group_a_median,group_b_median,abs_mean_difference,effect_size,missing_percent,direction,interpretation_note
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_030,1024,936,-0.04248338719644092,-0.043438263624532375,-0.04308430477976795,-0.04291560873389235,0.0009548764280914585,0.052049505787161526,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_031,1024,936,0.00563619730561181,0.013815927097049563,0.0050645766314119,0.01403251709416505,0.008179729791437752,0.4392714072792496,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_032,1024,936,-0.011274351669957366,-0.03661720909029749,-0.00956171331927175,-0.035198748111724854,0.025342857420340124,1.0277657210768396,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_033,1024,936,0.008384199247835495,-0.027019160612266925,0.0075457172933965505,-0.025471194647252497,0.03540335986010242,1.40098541987245,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_034,1024,936,-0.009743203350502916,0.01702540208370305,-0.00896091945469375,0.0162421995773911,0.026768605434205964,1.6341249547553658,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_035,1024,936,0.017831144376223983,0.003060524588967855,0.019250620156526503,0.0051006760913878,0.014770619787256127,0.7775529275904585,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_036,1024,936,0.017754437473158167,0.05717711072050316,0.0174026349559426,0.055568819865584304,0.039422673247345,1.468846490688905,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_037,1024,936,-0.015237352781170414,-0.012340888968280393,-0.015700988471508,-0.01094874739646905,0.002896463812890021,0.15178216896371471,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_038,1024,936,-0.02215825895488519,-0.007871449067445207,-0.0226809494197368,-0.0087035191245377,0.014286809887439982,0.506565754277717,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_039,1024,936,0.0008020953056586665,-0.00029877726368266,0.0005714145081583001,-0.00337522081099445,0.0011008725693413264,0.04812464160470397,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_040,1024,936,0.03016940547219345,0.021328347799995866,0.0312666185200214,0.0232909452170133,0.008841057672197585,0.3310326587841758,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_041,1024,936,-0.013950193758940778,0.013169438531166743,-0.014462601393461151,0.01467669848352665,0.02711963229010752,1.2214170688827553,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_042,1024,936,-0.010022021967569497,-0.02029509939401163,-0.0115666552446782,-0.021478630602359702,0.010273077426442132,0.48511945749885854,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_043,1024,936,-0.025901570108622665,-0.0019797581510554267,-0.02640055585652585,-0.0032086846185848,0.02392181195756724,1.2324419391570454,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_044,1024,936,-0.021862032464108304,-0.028480160714001893,-0.021696345880627597,-0.027519656345248153,0.006618128249893589,0.3470268119582535,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
