level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_049,936,936,0.0,0.008218594385660732,0.01592036595546113,-0.047546986490488,0.00799104664474725,0.0648953020572662
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_050,936,936,0.0,0.1189264868190727,0.05401481291754008,-0.0458150319755077,0.11689923331141469,0.3385194540023803
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_051,936,936,0.0,0.004859801773962417,0.019475651723125213,-0.0624219216406345,0.005260031437501251,0.0593836233019828
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_052,936,936,0.0,-0.0438823094655318,0.02479641650749811,-0.1762265712022781,-0.0420846696943044,0.0244102571159601
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_053,936,936,0.0,0.0015939179811617073,0.024417115719419936,-0.067706823348999,0.000151849235408,0.1439838260412216
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_054,936,936,0.0,-0.002507573761078394,0.019926295720479735,-0.0644663497805595,-0.00312021945137525,0.0976717248558998
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_055,936,936,0.0,0.010573720283699758,0.02378403617650012,-0.0554371625185012,0.0081264832988381,0.1182075589895248
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_056,936,936,0.0,0.015295149045989513,0.03798286275624727,-0.0819917619228363,0.01075706072151655,0.2385205775499344
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_057,936,936,0.0,0.6309467043377396,0.027605552028267394,0.490222692489624,0.632807195186615,0.7023701071739197
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_058,936,936,0.0,-0.002057746793344703,0.01929481662857814,-0.1558375507593155,-0.0017332064453512,0.0993514955043792
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_059,936,936,0.0,0.022924552874381957,0.024904866639748325,-0.0511061996221542,0.022330188192427103,0.1126027405261993
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_060,936,936,0.0,-0.005289498751090419,0.023772714943338685,-0.1455963253974914,-0.0046574331354349505,0.0596895404160022
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_061,936,936,0.0,-0.004806332435574146,0.019881909297481227,-0.0660660862922668,-0.00404905294999475,0.0695415064692497
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_062,936,936,0.0,0.05911893838635715,0.024678606480911053,-0.0243073459714651,0.05736174993216985,0.1502445787191391
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_063,936,936,0.0,-0.045315557054837086,0.023953255415213055,-0.1332503408193588,-0.04358431510627265,0.0260166637599468
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_064,936,936,0.0,-0.026396732880702285,0.019108719507138487,-0.1143054813146591,-0.025821568444371147,0.0260416325181722
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_065,936,936,0.0,0.036864740874647285,0.02550778378664508,-0.0388250686228275,0.0351452305912971,0.2122606486082077
