task_name,feature_set,threshold,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,outside_false_fabricated_rate,fabricated_detected_rate
partial_fabrication_segment_model,localization,0.85,939,44,84,140,0.8939519469759735,0.7901195320447609,0.7608695652173914,0.625,0.6862745098039216,0.044760935910478125,0.375,0.044760935910478125,0.625
partial_fabrication_segment_model,localization,0.9,962,21,111,113,0.8906379453189727,0.741550555878506,0.8432835820895522,0.5044642857142857,0.6312849162011173,0.021363173957273652,0.4955357142857143,0.021363173957273652,0.5044642857142857
partial_fabrication_segment_model,ssl,0.1,147,836,29,195,0.28334714167357083,0.5100389659933149,0.18913676042677013,0.8705357142857143,0.3107569721115538,0.8504577822990844,0.12946428571428573,0.8504577822990844,0.8705357142857143
partial_fabrication_segment_model,ssl,0.15,225,758,41,183,0.3380281690140845,0.5229277176282517,0.1944739638682253,0.8169642857142857,0.3141630901287554,0.7711088504577823,0.18303571428571427,0.7711088504577823,0.8169642857142857
partial_fabrication_segment_model,ssl,0.2,295,688,48,176,0.39022369511184757,0.5429080075570412,0.2037037037037037,0.7857142857142857,0.3235294117647059,0.6998982706002035,0.21428571428571427,0.6998982706002035,0.7857142857142857
partial_fabrication_segment_model,ssl,0.25,349,634,57,167,0.4275062137531069,0.5502856597878215,0.20848938826466917,0.7455357142857143,0.3258536585365854,0.6449643947100712,0.2544642857142857,0.6449643947100712,0.7455357142857143
partial_fabrication_segment_model,ssl,0.3,416,567,71,153,0.47141673570836784,0.5531150087196628,0.2125,0.6830357142857143,0.3241525423728814,0.5768056968463886,0.3169642857142857,0.5768056968463886,0.6830357142857143
partial_fabrication_segment_model,ssl,0.35,480,503,84,140,0.5136702568351285,0.5566505595116988,0.2177293934681182,0.625,0.3229527104959631,0.5116988809766022,0.375,0.5116988809766022,0.625
partial_fabrication_segment_model,ssl,0.4,530,453,96,128,0.5451532725766363,0.5552971951751199,0.22030981067125646,0.5714285714285714,0.31801242236024846,0.46083418107833163,0.42857142857142855,0.46083418107833163,0.5714285714285714
partial_fabrication_segment_model,ssl,0.45,580,403,101,123,0.5824357912178956,0.5695688308385409,0.2338403041825095,0.5491071428571429,0.328,0.40996948118006105,0.45089285714285715,0.40996948118006105,0.5491071428571429
