scope,file_id,file_category,is_partial_file,segment_threshold,high_segment_fraction,top5_inside_hit,localized_oracle,broad_activation
dev,phase7c1_collection_manifest_000168_ai_022_direct,ai_direct,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000040_ai_006_direct,ai_direct,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000088_ai_012_direct,ai_direct,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000020_human_003_clean,human_clean,False,0.95,0.05555555555555555,False,False,False
dev,phase7c1_collection_manifest_000047_human_006_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000023_human_003_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000095_human_012_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000019_ai_003_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000175_human_022_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000115_ai_015_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000119_human_015_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000091_ai_012_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000043_ai_006_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000171_ai_022_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000094_human_012_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000118_human_015_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000018_ai_003_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000046_human_006_mixer_processed,human_mixer,False,0.95,0.05555555555555555,False,False,False
dev,phase7c1_collection_manifest_000114_ai_015_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000042_ai_006_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000090_ai_012_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000174_human_022_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000170_ai_022_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
dev,phase7c1_collection_manifest_000022_human_003_mixer_processed,human_mixer,False,0.95,0.05555555555555555,False,False,False
test,phase7c1_collection_manifest_000009_ai_002_fabricated,ai_fabricated,True,0.95,0.13043478260869565,True,True,False
test,phase7c1_collection_manifest_000013_human_002_fabricated,human_fabricated,True,0.95,0.2,True,True,False
test,phase7c1_collection_manifest_000033_ai_005_fabricated,ai_fabricated,True,0.95,0.22580645161290322,True,True,False
test,phase7c1_collection_manifest_000037_human_005_fabricated,human_fabricated,True,0.95,0.19230769230769232,True,True,False
test,phase7c1_collection_manifest_000065_ai_009_fabricated,ai_fabricated,True,0.95,0.15384615384615385,True,True,False
test,phase7c1_collection_manifest_000069_human_009_fabricated,human_fabricated,True,0.95,0.07142857142857142,True,True,False
test,phase7c1_collection_manifest_000105_ai_014_fabricated,ai_fabricated,True,0.95,0.18518518518518517,True,True,False
test,phase7c1_collection_manifest_000109_human_014_fabricated,human_fabricated,True,0.95,0.08695652173913043,True,True,False
test,phase7c1_collection_manifest_000161_ai_021_fabricated,ai_fabricated,True,0.95,0.23333333333333334,True,True,False
test,phase7c1_collection_manifest_000165_human_021_fabricated,human_fabricated,True,0.95,0.2222222222222222,True,True,False
test,phase7c1_collection_manifest_000068_human_009_clean,human_clean,False,0.95,0.043478260869565216,False,False,False
test,phase7c1_collection_manifest_000012_human_002_clean,human_clean,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000160_ai_021_direct,ai_direct,False,0.95,0.08,False,False,False
test,phase7c1_collection_manifest_000036_human_005_clean,human_clean,False,0.95,0.0,False,False,False
