feature,false_positive_mean_z,phase7_replay_mean_z,phase7_mixer_mean_z,phase7_clean_mean_z,gap_false_positive_vs_phase7_replay_abs,closer_to_replay_than_mixer,closer_to_replay_than_clean
dynamic_range_proxy,-0.8496635518035922,-0.9824512795117528,0.39729781445168866,0.004714656097058882,0.1327877277081606,True,True
dc_offset,-0.2727481814892947,-0.15424381004836543,0.023031716374243345,0.5661035693762714,0.11850437144092926,True,True
spectral_rolloff_std,-0.3598296467370192,-0.24338090207546828,-0.45168472007198845,1.282189412950136,0.11644874466155095,False,True
rms_max,-0.9262486672260399,-0.8383215258192596,0.3915322699927765,-0.022596878722103697,0.08792714140678037,True,True
mfcc_1_mean,1.039111170310388,1.0998431993722217,0.021008505767668256,-1.1760258606499172,0.06073202906183384,True,True
mfcc_13_std,-0.977944157286141,-0.9429595170862085,0.09566294887320867,0.7804058117107846,0.034984640199932526,True,True
mfcc_9_mean,-0.9165521592826154,-0.9491220123520184,0.7125645997678108,0.400184239714211,0.032569853069403076,True,True
mfcc_7_mean,-1.1752175820805677,-1.148358162923011,0.5210658000307401,0.3632167852166754,0.02685941915755663,True,True
mfcc_4_mean,-1.3591719993269697,-1.3758708700725082,0.4515142581811836,0.0318594153850517,0.01669887074553844,True,True
silence_ratio,-0.007318952839031838,-0.020218163065632504,0.0042189030703536695,0.7251603352428077,0.012899210226600667,False,True
active_audio_ratio,0.007318952839034579,0.020218163065635147,-0.0042189030703530086,-0.725160335242806,0.01289921022660057,False,True
mfcc_9_std,-0.7331225105148542,-0.7351865859907408,0.1326266044196618,0.9934181021878981,0.0020640754758866064,True,True
snr_proxy,-0.0192212618366031,-0.01754311853759891,0.0066264167034063605,0.6924564167721455,0.0016781432990041895,True,True
clipping_ratio,0.0,0.0,0.0,0.38018720096287373,0.0,False,True
