source,vote_threshold,segment_max_spoof_threshold,suspicious_chunk_ratio_threshold,clean_human_borderline_margin,n_samples,clean_human_false_alarm_count,clean_human_accept_count,clean_human_borderline_count,clean_human_review_rate,clean_human_n,human_replay_n,ai_replay_n,direct_ai_detected_count,direct_ai_segment_suspicious_count,human_replay_detected_count,ai_replay_detected_count,ai_replay_missed_count,ai_replay_segment_suspicious_count,human_mixer_detected_count,human_mixer_missed_count,ai_mixer_detected_count,ai_mixer_missed_count,ai_mixer_segment_suspicious_count,direct_ai_missed_count,human_replay_missed_count,partial_fabrication_missed_count,partial_fabrication_not_evaluable_count,partial_fabrication_detected_count,partial_fabrication_evaluable_n,direct_ai_n,human_mixer_n,ai_mixer_n,product_score
r2_product,0.45,0.95,0.2,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,13,17,0,19,4,23,0,23,0,0,10,6,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.45,0.95,0.3,0.05,184,13,9,1,0.043478260869565216,23,23,23,0,13,17,0,22,1,23,0,23,0,0,10,6,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.5,0.85,0.1,0.05,184,13,10,0,0.0,23,23,23,0,16,16,0,11,12,23,0,23,0,0,7,7,13,0,33,46,23,23,23,0.6391304347826088
r2_product,0.5,0.85,0.2,0.05,184,13,10,0,0.0,23,23,23,0,15,16,0,14,9,23,0,23,0,0,8,7,13,0,33,46,23,23,23,0.6304347826086957
r2_product,0.5,0.85,0.3,0.05,184,13,10,0,0.0,23,23,23,0,15,16,0,16,7,23,0,23,0,0,8,7,13,0,33,46,23,23,23,0.6304347826086957
r2_product,0.5,0.9,0.1,0.05,184,13,10,0,0.0,23,23,23,0,16,16,0,13,10,23,0,23,0,0,7,7,13,0,33,46,23,23,23,0.6391304347826088
r2_product,0.5,0.9,0.2,0.05,184,13,10,0,0.0,23,23,23,0,15,16,0,17,6,23,0,23,0,0,8,7,13,0,33,46,23,23,23,0.6304347826086957
r2_product,0.5,0.9,0.3,0.05,184,13,10,0,0.0,23,23,23,0,15,16,0,19,4,23,0,23,0,0,8,7,13,0,33,46,23,23,23,0.6304347826086957
r2_product,0.5,0.95,0.1,0.05,184,13,10,0,0.0,23,23,23,0,16,16,0,14,9,23,0,23,0,0,7,7,13,0,33,46,23,23,23,0.6391304347826088
r2_product,0.5,0.95,0.2,0.05,184,13,10,0,0.0,23,23,23,0,13,16,0,19,4,23,0,23,0,0,10,7,13,0,33,46,23,23,23,0.6130434782608696
r2_product,0.5,0.95,0.3,0.05,184,13,10,0,0.0,23,23,23,0,13,16,0,22,1,23,0,23,0,0,10,7,13,0,33,46,23,23,23,0.6130434782608696
r2_product,0.55,0.85,0.1,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,16,15,0,11,12,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6347826086956522
r2_product,0.55,0.85,0.2,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,15,15,0,14,9,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.55,0.85,0.3,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,15,15,0,16,7,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.55,0.9,0.1,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,16,15,0,13,10,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6347826086956522
r2_product,0.55,0.9,0.2,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,15,15,0,17,6,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.55,0.9,0.3,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,15,15,0,19,4,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.55,0.95,0.1,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,16,15,0,14,9,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6347826086956522
r2_product,0.55,0.95,0.2,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,13,15,0,19,4,23,0,23,0,0,10,8,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.55,0.95,0.3,0.05,184,10,10,3,0.13043478260869565,23,23,23,0,13,15,0,22,1,23,0,23,0,0,10,8,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.6,0.85,0.1,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,16,15,0,11,12,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6347826086956522
r2_product,0.6,0.85,0.2,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,15,15,0,14,9,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.6,0.85,0.3,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,15,15,0,16,7,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.6,0.9,0.1,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,16,15,0,13,10,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6347826086956522
r2_product,0.6,0.9,0.2,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,15,15,0,17,6,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.6,0.9,0.3,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,15,15,0,19,4,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6260869565217391
r2_product,0.6,0.95,0.1,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,16,15,0,14,9,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6347826086956522
r2_product,0.6,0.95,0.2,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,13,15,0,19,4,23,0,23,0,0,10,8,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.6,0.95,0.3,0.05,184,9,10,4,0.17391304347826086,23,23,23,0,13,15,0,22,1,23,0,23,0,0,10,8,13,0,33,46,23,23,23,0.6086956521739131
r2_product,0.65,0.85,0.1,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,16,15,0,11,12,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6608695652173913
r2_product,0.65,0.85,0.2,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,15,15,0,14,9,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6521739130434783
r2_product,0.65,0.85,0.3,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,15,15,0,16,7,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6521739130434783
r2_product,0.65,0.9,0.1,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,16,15,0,13,10,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6608695652173913
r2_product,0.65,0.9,0.2,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,15,15,0,17,6,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6521739130434783
r2_product,0.65,0.9,0.3,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,15,15,0,19,4,23,0,23,0,0,8,8,13,0,33,46,23,23,23,0.6521739130434783
r2_product,0.65,0.95,0.1,0.05,184,7,13,3,0.13043478260869565,23,23,23,0,16,15,0,14,9,23,0,23,0,0,7,8,13,0,33,46,23,23,23,0.6608695652173913
