group_dimension,group_value,feature,count,row_count,missing_percent,mean,std,min,median,max
known_manipulation_labels,mixer_channel_processed,mfcc_3_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_3_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_4_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_4_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_5_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_5_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_6_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_6_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_7_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_7_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_8_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_8_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_9_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_9_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_10_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_10_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_11_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_11_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_12_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_12_std,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_13_mean,0,1022,100.0,,,,,
known_manipulation_labels,mixer_channel_processed,mfcc_13_std,0,1022,100.0,,,,,
known_manipulation_labels,replay_rerecorded,rms_mean,936,936,0.0,0.06497555438888888,0.018087335655075813,0.029979967,0.058839342,0.13457674
known_manipulation_labels,replay_rerecorded,rms_std,936,936,0.0,0.025512037631623928,0.009707319812632361,0.0033882798,0.0219159125,0.072548851
known_manipulation_labels,replay_rerecorded,peak_amplitude,936,936,0.0,0.44004080142094015,0.06751480358067671,0.16594708,0.42965423999999997,0.68526495
known_manipulation_labels,replay_rerecorded,zero_crossing_rate_mean,936,936,0.0,0.19580853319658117,0.04967172523376498,0.075896732,0.19889516499999998,0.33174061
known_manipulation_labels,replay_rerecorded,clipping_ratio,936,936,0.0,0.0,0.0,0.0,0.0,0.0
known_manipulation_labels,replay_rerecorded,silence_ratio,936,936,0.0,1.6958350213675215e-05,0.00036666897036932635,0.0,0.0,0.0079365079
known_manipulation_labels,replay_rerecorded,spectral_centroid_mean,936,936,0.0,2289.7004136752134,390.2529184128688,1261.3335,2320.3003,3271.9986
known_manipulation_labels,replay_rerecorded,spectral_bandwidth_mean,936,936,0.0,1857.4295008547008,141.3175393667578,1281.3307,1874.56315,2183.7318
known_manipulation_labels,replay_rerecorded,spectral_rolloff_mean,936,936,0.0,4362.565529380342,654.6866770129462,2364.8934,4439.60815,5874.256
known_manipulation_labels,replay_rerecorded,spectral_flatness_mean,936,936,0.0,0.056380995829380345,0.02083800854592928,0.0067390583,0.058356519499999995,0.10354447
known_manipulation_labels,replay_rerecorded,spectral_contrast_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,low_band_energy_ratio,936,936,0.0,0.08781259350534187,0.12017112693198802,0.014208025,0.060060639,0.81167715
known_manipulation_labels,replay_rerecorded,mid_band_energy_ratio,936,936,0.0,0.7084892781623932,0.17163421804775308,0.17951797,0.70667765,0.97421308
known_manipulation_labels,replay_rerecorded,high_band_energy_ratio,936,936,0.0,0.20369812054925215,0.15255675231913066,0.0035371256,0.19649751999999998,0.53732097
known_manipulation_labels,replay_rerecorded,very_high_band_energy_ratio,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,noise_floor_proxy,936,936,0.0,0.03357191604594017,0.00950977472078384,0.010742438,0.030233521,0.08743979
known_manipulation_labels,replay_rerecorded,snr_proxy,936,936,0.0,3.0748077333333335,1.1318632225914833,1.2694678,2.8568392,13.387489
known_manipulation_labels,replay_rerecorded,dynamic_range_proxy,936,936,0.0,0.10531758207158119,0.04124752622179351,0.020588923,0.088342324,0.30027658
known_manipulation_labels,replay_rerecorded,spectral_entropy_mean,936,936,0.0,4.617472177564102,0.5014295166017576,3.1301286,4.7816974000000005,5.2997754
known_manipulation_labels,replay_rerecorded,bandwidth_occupied_95,936,936,0.0,0.626565525707265,0.24850907046672377,0.080078125,0.74853516,0.89550781
known_manipulation_labels,replay_rerecorded,mfcc_1_mean,0,936,100.0,,,,,
