scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,threshold
dev,40,16,6,4,14,0.55,0.5666666666666667,0.8,0.5333333333333333,0.6,0.4,0.4666666666666667,0.64,0.26
dev,40,16,6,4,14,0.55,0.5666666666666667,0.8,0.5333333333333333,0.6,0.4,0.4666666666666667,0.64,0.27
dev,40,16,6,4,14,0.55,0.5666666666666667,0.8,0.5333333333333333,0.6,0.4,0.4666666666666667,0.64,0.28
dev,40,16,6,4,14,0.55,0.5666666666666667,0.8,0.5333333333333333,0.6,0.4,0.4666666666666667,0.64,0.29
dev,40,15,6,4,15,0.525,0.55,0.7894736842105263,0.5,0.6,0.4,0.5,0.6122448979591837,0.3
dev,40,15,6,4,15,0.525,0.55,0.7894736842105263,0.5,0.6,0.4,0.5,0.6122448979591837,0.31
dev,40,14,6,4,16,0.5,0.5333333333333333,0.7777777777777778,0.4666666666666667,0.6,0.4,0.5333333333333333,0.5833333333333334,0.32
dev,40,14,6,4,16,0.5,0.5333333333333333,0.7777777777777778,0.4666666666666667,0.6,0.4,0.5333333333333333,0.5833333333333334,0.33
dev,40,14,6,4,16,0.5,0.5333333333333333,0.7777777777777778,0.4666666666666667,0.6,0.4,0.5333333333333333,0.5833333333333334,0.34
dev,40,14,7,3,16,0.525,0.5833333333333333,0.8235294117647058,0.4666666666666667,0.7,0.3,0.5333333333333333,0.5957446808510638,0.35
dev,40,14,8,2,16,0.55,0.6333333333333333,0.875,0.4666666666666667,0.8,0.2,0.5333333333333333,0.6086956521739131,0.36
dev,40,14,8,2,16,0.55,0.6333333333333333,0.875,0.4666666666666667,0.8,0.2,0.5333333333333333,0.6086956521739131,0.37
dev,40,14,8,2,16,0.55,0.6333333333333333,0.875,0.4666666666666667,0.8,0.2,0.5333333333333333,0.6086956521739131,0.38
dev,40,14,8,2,16,0.55,0.6333333333333333,0.875,0.4666666666666667,0.8,0.2,0.5333333333333333,0.6086956521739131,0.39
dev,40,14,9,1,16,0.575,0.6833333333333333,0.9333333333333333,0.4666666666666667,0.9,0.1,0.5333333333333333,0.6222222222222222,0.4
dev,40,14,10,0,16,0.6,0.7333333333333334,1.0,0.4666666666666667,1.0,0.0,0.5333333333333333,0.6363636363636364,0.41
dev,40,14,10,0,16,0.6,0.7333333333333334,1.0,0.4666666666666667,1.0,0.0,0.5333333333333333,0.6363636363636364,0.42
dev,40,13,10,0,17,0.575,0.7166666666666667,1.0,0.43333333333333335,1.0,0.0,0.5666666666666667,0.6046511627906976,0.43
dev,40,12,10,0,18,0.55,0.7,1.0,0.4,1.0,0.0,0.6,0.5714285714285714,0.44
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.45
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.46
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.47
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.48
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.49
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.5
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.51
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.52
dev,40,11,10,0,19,0.525,0.6833333333333333,1.0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.5365853658536586,0.53
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.54
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.55
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.56
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.57
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.58
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.59
dev,40,10,10,0,20,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.5,0.6
