task_name,feature_set,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,fabricated_segment_detected_rate,outside_false_fabricated_rate
partial_segment_localizer_v2,ssl,0.15,0.10845481049562682,0.8303571428571429,0.1918514698298092,0.3901505486093391,0.16964285714285715,2390,1529,38,186,0.8303571428571429,0.3901505486093391
partial_segment_localizer_v2,ssl,0.2,0.11533505154639176,0.7991071428571429,0.20157657657657657,0.35034447563153864,0.20089285714285715,2546,1373,45,179,0.7991071428571429,0.35034447563153864
partial_segment_localizer_v2,ssl,0.25,0.11884669479606189,0.7544642857142857,0.20534629404617255,0.3197244194947691,0.24553571428571427,2666,1253,55,169,0.7544642857142857,0.3197244194947691
partial_segment_localizer_v2,ssl,0.3,0.12318286151491967,0.71875,0.21032005225342912,0.2924215361061495,0.28125,2773,1146,63,161,0.71875,0.2924215361061495
partial_segment_localizer_v2,ssl,0.35,0.1280334728033473,0.6830357142857143,0.2156448202959831,0.26588415412094923,0.3169642857142857,2877,1042,71,153,0.6830357142857143,0.26588415412094923
partial_segment_localizer_v2,ssl,0.4,0.13071297989031078,0.6383928571428571,0.21699544764795145,0.24266394488389895,0.36160714285714285,2968,951,81,143,0.6383928571428571,0.24266394488389895
partial_segment_localizer_v2,ssl,0.45,0.13636363636363635,0.6160714285714286,0.22330097087378642,0.2230160755294718,0.38392857142857145,3045,874,86,138,0.6160714285714286,0.2230160755294718
partial_segment_localizer_v2,ssl,0.5,0.13704496788008566,0.5714285714285714,0.22107081174438686,0.20566471038530237,0.42857142857142855,3113,806,96,128,0.5714285714285714,0.20566471038530237
partial_segment_localizer_v2,ssl,0.55,0.1387900355871886,0.5223214285714286,0.21930646672914714,0.185251339627456,0.47767857142857145,3193,726,107,117,0.5223214285714286,0.185251339627456
partial_segment_localizer_v2,ssl,0.6,0.14743589743589744,0.5133928571428571,0.2290836653386454,0.16968614442459812,0.48660714285714285,3254,665,109,115,0.5133928571428571,0.16968614442459812
partial_segment_localizer_v2,ssl,0.65,0.15384615384615385,0.48214285714285715,0.23326133909287258,0.15156927787700944,0.5178571428571429,3325,594,116,108,0.48214285714285715,0.15156927787700944
partial_segment_localizer_v2,ssl,0.7,0.1629032258064516,0.45089285714285715,0.23933649289099526,0.13243174279152845,0.5491071428571429,3400,519,123,101,0.45089285714285715,0.13243174279152845
partial_segment_localizer_v2,ssl,0.75,0.17735849056603772,0.41964285714285715,0.2493368700265252,0.11125287063026282,0.5803571428571429,3483,436,130,94,0.41964285714285715,0.11125287063026282
partial_segment_localizer_v2,ssl,0.8,0.18763796909492272,0.3794642857142857,0.2511078286558346,0.0939015054860934,0.6205357142857143,3551,368,139,85,0.3794642857142857,0.0939015054860934
partial_segment_localizer_v2,ssl,0.85,0.20797720797720798,0.32589285714285715,0.2539130434782609,0.0709364633835162,0.6741071428571429,3641,278,151,73,0.32589285714285715,0.0709364633835162
partial_segment_localizer_v2,ssl,0.9,0.25,0.2767857142857143,0.2627118644067797,0.04746108701199286,0.7232142857142857,3733,186,162,62,0.2767857142857143,0.04746108701199286
partial_segment_localizer_v2,localization,0.1,0.10637278390033542,0.9910714285714286,0.1921246213760277,0.475886705792294,0.008928571428571428,2054,1865,2,222,0.9910714285714286,0.475886705792294
partial_segment_localizer_v2,localization,0.15,0.1206140350877193,0.9821428571428571,0.21484375,0.4092880836948201,0.017857142857142856,2315,1604,4,220,0.9821428571428571,0.4092880836948201
partial_segment_localizer_v2,localization,0.2,0.13465101914762198,0.9732142857142857,0.23657080846446013,0.3574891553967849,0.026785714285714284,2518,1401,6,218,0.9732142857142857,0.3574891553967849
partial_segment_localizer_v2,localization,0.25,0.14893617021276595,0.96875,0.2581796549672814,0.316407246746619,0.03125,2679,1240,7,217,0.96875,0.316407246746619
partial_segment_localizer_v2,localization,0.3,0.16210045662100456,0.9508928571428571,0.27698309492847856,0.2809390150548609,0.049107142857142856,2818,1101,11,213,0.9508928571428571,0.2809390150548609
partial_segment_localizer_v2,localization,0.35,0.17775905644481887,0.9419642857142857,0.29907866761162294,0.24904312324572594,0.05803571428571429,2943,976,13,211,0.9419642857142857,0.24904312324572594
partial_segment_localizer_v2,localization,0.4,0.19433962264150945,0.9196428571428571,0.32087227414330216,0.2179127328400102,0.08035714285714286,3065,854,18,206,0.9196428571428571,0.2179127328400102
partial_segment_localizer_v2,localization,0.45,0.21527041357370094,0.90625,0.34790059982862037,0.1888236795100791,0.09375,3179,740,21,203,0.90625,0.1888236795100791
partial_segment_localizer_v2,localization,0.5,0.23411764705882354,0.8883928571428571,0.37057728119180633,0.166113804541975,0.11160714285714286,3268,651,25,199,0.8883928571428571,0.166113804541975
partial_segment_localizer_v2,localization,0.55,0.26116373477672533,0.8616071428571429,0.40083073727933544,0.13932125542230162,0.13839285714285715,3373,546,31,193,0.8616071428571429,0.13932125542230162
partial_segment_localizer_v2,localization,0.6,0.2786144578313253,0.8258928571428571,0.4166666666666667,0.12222505741260525,0.17410714285714285,3440,479,39,185,0.8258928571428571,0.12222505741260525
partial_segment_localizer_v2,localization,0.65,0.30742049469964666,0.7767857142857143,0.44050632911392407,0.10002551671344731,0.22321428571428573,3527,392,50,174,0.7767857142857143,0.10002551671344731
partial_segment_localizer_v2,localization,0.7,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.08165348303138556,0.2857142857142857,3599,320,64,160,0.7142857142857143,0.08165348303138556
partial_segment_localizer_v2,localization,0.75,0.36764705882352944,0.6696428571428571,0.47468354430379744,0.0658331206940546,0.33035714285714285,3661,258,74,150,0.6696428571428571,0.0658331206940546
partial_segment_localizer_v2,localization,0.8,0.38414634146341464,0.5625,0.45652173913043476,0.051543761163562136,0.4375,3717,202,98,126,0.5625,0.051543761163562136
partial_segment_localizer_v2,localization,0.85,0.40076335877862596,0.46875,0.43209876543209874,0.04006124011227354,0.53125,3762,157,119,105,0.46875,0.04006124011227354
partial_segment_localizer_v2,localization,0.9,0.37681159420289856,0.3482142857142857,0.3619489559164733,0.0329165603470273,0.6517857142857143,3790,129,146,78,0.3482142857142857,0.0329165603470273
partial_segment_localizer_v2,combined,0.1,0.31634182908545727,0.9419642857142857,0.47362514029180697,0.11635621331972441,0.05803571428571429,3463,456,13,211,0.9419642857142857,0.11635621331972441
partial_segment_localizer_v2,combined,0.15,0.3493975903614458,0.90625,0.5043478260869565,0.09645317683082419,0.09375,3541,378,21,203,0.90625,0.09645317683082419
