task_name,feature_set,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,partial_detected_rate,non_partial_false_alarm_rate
partial_file_candidate_model,acoustic,0.9,0.5,0.1956521739130435,0.28125,0.06521739130434782,0.8043478260869565,129,9,37,9,0.1956521739130435,0.06521739130434782
partial_file_candidate_model,ssl,0.1,0.45544554455445546,1.0,0.6258503401360545,0.39855072463768115,0.0,83,55,0,46,1.0,0.39855072463768115
partial_file_candidate_model,ssl,0.15,0.5,1.0,0.6666666666666666,0.3333333333333333,0.0,92,46,0,46,1.0,0.3333333333333333
partial_file_candidate_model,ssl,0.2,0.5172413793103449,0.9782608695652174,0.6766917293233082,0.30434782608695654,0.021739130434782608,96,42,1,45,0.9782608695652174,0.30434782608695654
partial_file_candidate_model,ssl,0.25,0.5185185185185185,0.9130434782608695,0.6614173228346457,0.2826086956521739,0.08695652173913043,99,39,4,42,0.9130434782608695,0.2826086956521739
partial_file_candidate_model,ssl,0.3,0.5316455696202531,0.9130434782608695,0.672,0.26811594202898553,0.08695652173913043,101,37,4,42,0.9130434782608695,0.26811594202898553
partial_file_candidate_model,ssl,0.35,0.5833333333333334,0.9130434782608695,0.711864406779661,0.21739130434782608,0.08695652173913043,108,30,4,42,0.9130434782608695,0.21739130434782608
partial_file_candidate_model,ssl,0.4,0.6086956521739131,0.9130434782608695,0.7304347826086957,0.1956521739130435,0.08695652173913043,111,27,4,42,0.9130434782608695,0.1956521739130435
partial_file_candidate_model,ssl,0.45,0.6307692307692307,0.8913043478260869,0.7387387387387387,0.17391304347826086,0.10869565217391304,114,24,5,41,0.8913043478260869,0.17391304347826086
partial_file_candidate_model,ssl,0.5,0.6451612903225806,0.8695652173913043,0.7407407407407407,0.15942028985507245,0.13043478260869565,116,22,6,40,0.8695652173913043,0.15942028985507245
partial_file_candidate_model,ssl,0.55,0.6724137931034483,0.8478260869565217,0.75,0.13768115942028986,0.15217391304347827,119,19,7,39,0.8478260869565217,0.13768115942028986
partial_file_candidate_model,ssl,0.6,0.6730769230769231,0.7608695652173914,0.7142857142857143,0.12318840579710146,0.2391304347826087,121,17,11,35,0.7608695652173914,0.12318840579710146
