task_name,feature_set,file_id,file_category,is_partial_file,segment_count,segment_threshold,high_segment_fraction_at_threshold,top1_inside_true_region,top3_any_inside_true_region,top5_any_inside_true_region,top5_inside_count,best_rank_inside_region,max_prob_inside,mean_prob_inside,max_prob_outside,mean_prob_outside,inside_minus_outside_mean,false_high_segment_count,false_high_segment_rate,broad_false_activation_flag,broad_activation_flag,localized_pattern_supported
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000082_ai_011_mixer_processed,ai_mixer,false,19,0.5,0.0,,,,,,,,0.0365143665347293,0.003010826280833828,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000083_ai_011_replay_laptop_mobile,ai_replay,false,25,0.5,0.0,,,,,,,,0.0323304079909327,0.002091194479201825,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000084_human_011_clean,human_clean,false,19,0.5,0.2631578947368421,,,,,,,,0.999451117799067,0.29319874982077837,,5,0.2631578947368421,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000085_human_011_fabricated,human_fabricated,true,24,0.5,0.25,false,false,true,2,4,0.9142496791233536,0.44521352192030966,0.9998397176040252,0.2830637609813891,0.16214976093892058,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000086_human_011_mixer_processed,human_mixer,false,18,0.5,0.0,,,,,,,,0.4594111682074815,0.0314130935767954,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000087_human_011_replay_laptop_mobile,human_replay,false,17,0.5,0.0,,,,,,,,0.0007775001789232,4.5746756272870146e-05,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000088_ai_012_direct,ai_direct,false,19,0.5,0.05263157894736842,,,,,,,,0.9889467666516278,0.10825824908786615,,1,0.05263157894736842,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000089_ai_012_fabricated,ai_fabricated,true,25,0.5,0.24,true,true,true,4,1,0.9974677607917574,0.8174201123991797,0.9392540217590278,0.15370188666411572,0.663718225735064,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000090_ai_012_mixer_processed,ai_mixer,false,20,0.5,0.0,,,,,,,,0.0759600346590427,0.0038594371177858968,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000091_ai_012_replay_laptop_mobile,ai_replay,false,27,0.5,0.0,,,,,,,,0.0017008276766278,6.385519190853552e-05,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000092_human_012_clean,human_clean,false,22,0.5,0.18181818181818182,,,,,,,,0.9846356645580344,0.21591423698830844,,4,0.18181818181818182,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000093_human_012_fabricated,human_fabricated,true,25,0.5,0.16,true,true,true,4,1,0.997950967534192,0.9901106046769617,0.4224848727316439,0.046638532969352046,0.9434720717076096,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000094_human_012_mixer_processed,human_mixer,false,22,0.5,0.0,,,,,,,,0.3863439089729756,0.0650886909589236,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000095_human_012_replay_laptop_mobile,human_replay,false,15,0.5,0.0,,,,,,,,0.0031150220052464,0.00022243904264920367,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000096_ai_013_direct,ai_direct,false,27,0.5,0.14814814814814814,,,,,,,,0.8411130285885686,0.13083844598878094,,4,0.14814814814814814,false,false,
