scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,threshold
dev,40,26,6,4,4,0.8,0.7333333333333334,0.8666666666666667,0.8666666666666667,0.6,0.4,0.13333333333333333,0.8666666666666667,0.38
dev,40,26,6,4,4,0.8,0.7333333333333334,0.8666666666666667,0.8666666666666667,0.6,0.4,0.13333333333333333,0.8666666666666667,0.39
dev,40,26,6,4,4,0.8,0.7333333333333334,0.8666666666666667,0.8666666666666667,0.6,0.4,0.13333333333333333,0.8666666666666667,0.4
dev,40,26,6,4,4,0.8,0.7333333333333334,0.8666666666666667,0.8666666666666667,0.6,0.4,0.13333333333333333,0.8666666666666667,0.41
dev,40,25,7,3,5,0.8,0.7666666666666666,0.8928571428571429,0.8333333333333334,0.7,0.3,0.16666666666666666,0.8620689655172413,0.42
dev,40,25,7,3,5,0.8,0.7666666666666666,0.8928571428571429,0.8333333333333334,0.7,0.3,0.16666666666666666,0.8620689655172413,0.43
dev,40,25,7,3,5,0.8,0.7666666666666666,0.8928571428571429,0.8333333333333334,0.7,0.3,0.16666666666666666,0.8620689655172413,0.44
dev,40,25,8,2,5,0.825,0.8166666666666667,0.9259259259259259,0.8333333333333334,0.8,0.2,0.16666666666666666,0.8771929824561403,0.45
dev,40,25,8,2,5,0.825,0.8166666666666667,0.9259259259259259,0.8333333333333334,0.8,0.2,0.16666666666666666,0.8771929824561403,0.46
dev,40,25,8,2,5,0.825,0.8166666666666667,0.9259259259259259,0.8333333333333334,0.8,0.2,0.16666666666666666,0.8771929824561403,0.47
dev,40,25,8,2,5,0.825,0.8166666666666667,0.9259259259259259,0.8333333333333334,0.8,0.2,0.16666666666666666,0.8771929824561403,0.48
dev,40,25,8,2,5,0.825,0.8166666666666667,0.9259259259259259,0.8333333333333334,0.8,0.2,0.16666666666666666,0.8771929824561403,0.49
dev,40,24,8,2,6,0.8,0.8,0.9230769230769231,0.8,0.8,0.2,0.2,0.8571428571428571,0.5
dev,40,24,8,2,6,0.8,0.8,0.9230769230769231,0.8,0.8,0.2,0.2,0.8571428571428571,0.51
dev,40,24,8,2,6,0.8,0.8,0.9230769230769231,0.8,0.8,0.2,0.2,0.8571428571428571,0.52
dev,40,24,8,2,6,0.8,0.8,0.9230769230769231,0.8,0.8,0.2,0.2,0.8571428571428571,0.53
dev,40,24,8,2,6,0.8,0.8,0.9230769230769231,0.8,0.8,0.2,0.2,0.8571428571428571,0.54
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.55
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.56
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.57
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.58
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.59
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.6
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.61
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.62
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.63
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.64
