schema_version,file_id,segment_id,audio_path,start_sec,end_sec,segment_duration_sec,feature_source,extraction_status,warning_message,rms_mean,rms_std,peak_amplitude,zero_crossing_rate_mean,clipping_ratio,silence_ratio,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,low_band_energy_ratio,mid_band_energy_ratio,high_band_energy_ratio,very_high_band_energy_ratio,noise_floor_proxy,snr_proxy,dynamic_range_proxy,spectral_entropy_mean,bandwidth_occupied_95,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0020,data/phase7c1/raw/ai_direct/ai_001_direct.wav,40.0,44.0,4.0,phase8c_acoustic_librosa,ok,,0.063621968,0.053216193,0.66086572,0.17447917,0,0.063492063,2062.3248,1674.8816,3669.0848,0.045831564,,0.6285592,0.28331535,0.088125447,,0.00022499067,674.23239,0.18846582,4.3181757,0.671875,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0021,data/phase7c1/raw/ai_direct/ai_001_direct.wav,42.0,46.0,4.0,phase8c_acoustic_librosa,ok,,0.08762385,0.057952195,0.66086572,0.14331055,0,0,1726.1574,1515.9802,3125.186,0.035664658,,0.6678003,0.29788133,0.03431837,,0.017173991,10.053486,0.24539427,4.00809,0.22412109,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0022,data/phase7c1/raw/ai_direct/ai_001_direct.wav,44.0,48.0,4.0,phase8c_acoustic_librosa,ok,,0.092151143,0.06389536,0.72910666,0.10063244,0,0,1446.6533,1422.4918,2783.7922,0.026079871,,0.7065855,0.27696632,0.016448176,,0.0018946677,99.294615,0.2356618,3.8049923,0.099121094,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0023,data/phase7c1/raw/ai_direct/ai_001_direct.wav,46.0,50.0,4.0,phase8c_acoustic_librosa,ok,,0.081535712,0.06302771,0.72910666,0.097408234,0,0,1448.073,1390.8725,2740.0174,0.022230019,,0.71181893,0.26884773,0.019333339,,0.00031772035,570.58731,0.24018265,3.9423314,0.15576172,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0024,data/phase7c1/raw/ai_direct/ai_001_direct.wav,48.0,52.0,4.0,phase8c_acoustic_librosa,ok,,0.065666594,0.050988957,0.65134513,0.12715464,0,0.023809524,1703.5027,1476.4956,3091.1458,0.029310401,,0.58232792,0.3636453,0.054026767,,0.00021679176,645.61749,0.2086546,4.0898493,0.40136719,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0025,data/phase7c1/raw/ai_direct/ai_001_direct.wav,50.0,54.0,4.0,phase8c_acoustic_librosa,ok,,0.05933198,0.054127648,0.70328176,0.14779808,0,0.03968254,1869.7345,1583.3268,3399.9876,0.034398783,,0.58066184,0.3080218,0.11131636,,0.00016099062,879.00815,0.18755203,3.8417062,0.71582031,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0026,data/phase7c1/raw/ai_direct/ai_001_direct.wav,52.0,56.0,4.0,phase8c_acoustic_librosa,ok,,0.058315389,0.041642342,0.79264891,0.11742777,0,0.015873016,1559.3631,1493.5771,2953.187,0.024373674,,0.53135562,0.37722021,0.091424148,,0.00033779588,324.68474,0.17476581,3.7286015,0.65722656,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0027,data/phase7c1/raw/ai_direct/ai_001_direct.wav,54.0,56.32,2.32,phase8c_acoustic_librosa,ok,,0.056595743,0.035355706,0.79264891,0.099595997,0,0.054794521,1430.7824,1496.4264,2912.3502,0.018139431,,0.44218691,0.5285374,0.029275699,,0.00015676534,674.37031,0.12535474,3.8262699,0.29736328,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0000,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,0.0,4.0,4.0,phase8c_acoustic_librosa,ok,,0.088534132,0.066516459,0.66702616,0.14799185,0,0.031746032,1978.8195,1687.8836,3619.1716,0.049792292,,0.6772865,0.27778716,0.044926342,,0.0079107843,24.482522,0.24757442,4.1742625,0.27441406,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0001,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,2.0,6.0,4.0,phase8c_acoustic_librosa,ok,,0.060218163,0.065439828,0.72931969,0.15864878,0,0.023809524,2072.8768,1733.0782,3774.9876,0.049503834,,0.61662074,0.31533145,0.068047807,,0.00011986951,1469.9545,0.25845745,4.4006206,0.51611328,,,,,,,,,,,,,,,,,,,,,,,,,,
